Period,Replicate,Target,Token,Rank,Target_in_vocab,Vocab_size
1851-1900,11,terrorism,fair_election,224.0,True,12372
1851-1900,11,terrorism,intimidation_violence,1385.0,True,12372
1851-1900,11,terrorism,georgia_alabama,3.0,True,12372
1851-1900,11,terrorism,alabama_arkansas,488.0,True,12372
1851-1900,11,terrorism,practical_disfranchisement,,True,12372
1851-1900,11,terrorist,repression,70.0,True,12372
1851-1900,11,terrorist,brute_force,687.0,True,12372
1851-1900,11,terrorist,reign_terror,37.0,True,12372
1851-1900,12,terrorism,klan,134.0,True,11985
1851-1900,12,terrorism,fair_election,4334.0,True,11985
1851-1900,12,terrorism,intimidation_violence,118.0,True,11985
1851-1900,12,terrorism,georgia_alabama,33.0,True,11985
1851-1900,12,terrorism,alabama_arkansas,43.0,True,11985
1851-1900,12,terrorism,practical_disfranchisement,,True,11985
1851-1900,12,terrorist,repression,3237.0,True,11985
1851-1900,12,terrorist,brute_force,,True,11985
1851-1900,12,terrorist,reign_terror,44.0,True,11985
1851-1900,13,terrorism,klan,455.0,True,12712
1851-1900,13,terrorism,fair_election,43.0,True,12712
1851-1900,13,terrorism,intimidation_violence,34.0,True,12712
1851-1900,13,terrorism,georgia_alabama,,True,12712
1851-1900,13,terrorism,alabama_arkansas,1.0,True,12712
1851-1900,13,terrorism,practical_disfranchisement,173.0,True,12712
1851-1900,13,terrorist,repression,537.0,True,12712
1851-1900,13,terrorist,brute_force,260.0,True,12712
1851-1900,13,terrorist,reign_terror,6.0,True,12712
1851-1900,14,terrorism,klan,1455.0,True,12414
1851-1900,14,terrorism,fair_election,324.0,True,12414
1851-1900,14,terrorism,intimidation_violence,159.0,True,12414
1851-1900,14,terrorism,georgia_alabama,362.0,True,12414
1851-1900,14,terrorism,alabama_arkansas,6.0,True,12414
1851-1900,14,terrorism,practical_disfranchisement,,True,12414
1851-1900,14,terrorist,repression,46.0,True,12414
1851-1900,14,terrorist,brute_force,758.0,True,12414
1851-1900,14,terrorist,reign_terror,38.0,True,12414
1851-1900,15,terrorism,klan,387.0,True,11950
1851-1900,15,terrorism,fair_election,4.0,True,11950
1851-1900,15,terrorism,intimidation_violence,24.0,True,11950
1851-1900,15,terrorism,georgia_alabama,5.0,True,11950
1851-1900,15,terrorism,alabama_arkansas,63.0,True,11950
1851-1900,15,terrorism,practical_disfranchisement,393.0,True,11950
1851-1900,15,terrorist,repression,4647.0,True,11950
1851-1900,15,terrorist,brute_force,97.0,True,11950
1851-1900,15,terrorist,reign_terror,49.0,True,11950
1851-1900,16,terrorism,klan,58.0,True,12364
1851-1900,16,terrorism,fair_election,157.0,True,12364
1851-1900,16,terrorism,intimidation_violence,151.0,True,12364
1851-1900,16,terrorism,georgia_alabama,7.0,True,12364
1851-1900,16,terrorism,alabama_arkansas,6.0,True,12364
1851-1900,16,terrorism,practical_disfranchisement,,True,12364
1851-1900,16,terrorist,repression,56.0,True,12364
1851-1900,16,terrorist,brute_force,3916.0,True,12364
1851-1900,16,terrorist,reign_terror,3.0,True,12364
1851-1900,17,terrorism,klan,2776.0,True,12398
1851-1900,17,terrorism,fair_election,72.0,True,12398
1851-1900,17,terrorism,intimidation_violence,380.0,True,12398
1851-1900,17,terrorism,georgia_alabama,730.0,True,12398
1851-1900,17,terrorism,alabama_arkansas,4198.0,True,12398
1851-1900,17,terrorism,practical_disfranchisement,100.0,True,12398
1851-1900,17,terrorist,repression,2.0,True,12398
1851-1900,17,terrorist,brute_force,71.0,True,12398
1851-1900,17,terrorist,reign_terror,11.0,True,12398
1851-1900,18,terrorism,klan,142.0,True,11581
1851-1900,18,terrorism,fair_election,732.0,True,11581
1851-1900,18,terrorism,intimidation_violence,1235.0,True,11581
1851-1900,18,terrorism,georgia_alabama,220.0,True,11581
1851-1900,18,terrorism,alabama_arkansas,23.0,True,11581
1851-1900,18,terrorism,practical_disfranchisement,371.0,True,11581
1851-1900,18,terrorist,repression,9.0,True,11581
1851-1900,18,terrorist,brute_force,7.0,True,11581
1851-1900,18,terrorist,reign_terror,38.0,True,11581
1851-1900,19,terrorism,klan,329.0,True,12021
1851-1900,19,terrorism,fair_election,2516.0,True,12021
1851-1900,19,terrorism,intimidation_violence,4.0,True,12021
1851-1900,19,terrorism,georgia_alabama,243.0,True,12021
1851-1900,19,terrorism,alabama_arkansas,104.0,True,12021
1851-1900,19,terrorism,practical_disfranchisement,,True,12021
1851-1900,19,terrorist,repression,21.0,True,12021
1851-1900,19,terrorist,brute_force,7828.0,True,12021
1851-1900,19,terrorist,reign_terror,31.0,True,12021
1851-1900,20,terrorism,klan,104.0,True,12351
1851-1900,20,terrorism,fair_election,212.0,True,12351
1851-1900,20,terrorism,intimidation_violence,35.0,True,12351
1851-1900,20,terrorism,georgia_alabama,1088.0,True,12351
1851-1900,20,terrorism,alabama_arkansas,151.0,True,12351
1851-1900,20,terrorism,practical_disfranchisement,742.0,True,12351
1851-1900,20,terrorist,repression,31.0,True,12351
1851-1900,20,terrorist,brute_force,9088.0,True,12351
1851-1900,20,terrorist,reign_terror,39.0,True,12351
1851-1900,21,terrorism,klan,2218.0,True,12098
1851-1900,21,terrorism,fair_election,558.0,True,12098
1851-1900,21,terrorism,intimidation_violence,213.0,True,12098
1851-1900,21,terrorism,georgia_alabama,9.0,True,12098
1851-1900,21,terrorism,alabama_arkansas,991.0,True,12098
1851-1900,21,terrorism,practical_disfranchisement,1689.0,True,12098
1851-1900,21,terrorist,repression,47.0,True,12098
1851-1900,21,terrorist,brute_force,7.0,True,12098
1851-1900,21,terrorist,reign_terror,21.0,True,12098
1851-1900,22,terrorism,klan,1361.0,True,12547
1851-1900,22,terrorism,fair_election,2736.0,True,12547
1851-1900,22,terrorism,intimidation_violence,2142.0,True,12547
1851-1900,22,terrorism,georgia_alabama,535.0,True,12547
1851-1900,22,terrorism,alabama_arkansas,105.0,True,12547
1851-1900,22,terrorism,practical_disfranchisement,,True,12547
1851-1900,22,terrorist,repression,217.0,True,12547
1851-1900,22,terrorist,brute_force,4.0,True,12547
1851-1900,22,terrorist,reign_terror,35.0,True,12547
1851-1900,23,terrorism,klan,3023.0,True,12170
1851-1900,23,terrorism,fair_election,201.0,True,12170
1851-1900,23,terrorism,intimidation_violence,20.0,True,12170
1851-1900,23,terrorism,georgia_alabama,,True,12170
1851-1900,23,terrorism,alabama_arkansas,8.0,True,12170
1851-1900,23,terrorism,practical_disfranchisement,80.0,True,12170
1851-1900,23,terrorist,repression,59.0,True,12170
1851-1900,23,terrorist,brute_force,53.0,True,12170
1851-1900,23,terrorist,reign_terror,6.0,True,12170
1851-1900,24,terrorism,klan,1654.0,True,12467
1851-1900,24,terrorism,fair_election,119.0,True,12467
1851-1900,24,terrorism,intimidation_violence,11.0,True,12467
1851-1900,24,terrorism,georgia_alabama,13.0,True,12467
1851-1900,24,terrorism,alabama_arkansas,28.0,True,12467
1851-1900,24,terrorism,practical_disfranchisement,200.0,True,12467
1851-1900,24,terrorist,repression,4.0,True,12467
1851-1900,24,terrorist,brute_force,9306.0,True,12467
1851-1900,24,terrorist,reign_terror,55.0,True,12467
1851-1900,25,terrorism,klan,4301.0,True,12387
1851-1900,25,terrorism,fair_election,83.0,True,12387
1851-1900,25,terrorism,intimidation_violence,458.0,True,12387
1851-1900,25,terrorism,georgia_alabama,270.0,True,12387
1851-1900,25,terrorism,alabama_arkansas,21.0,True,12387
1851-1900,25,terrorism,practical_disfranchisement,,True,12387
1851-1900,25,terrorist,repression,19.0,True,12387
1851-1900,25,terrorist,brute_force,268.0,True,12387
1851-1900,25,terrorist,reign_terror,16.0,True,12387
1851-1900,26,terrorism,klan,1486.0,True,12094
1851-1900,26,terrorism,fair_election,2095.0,True,12094
1851-1900,26,terrorism,intimidation_violence,394.0,True,12094
1851-1900,26,terrorism,georgia_alabama,85.0,True,12094
1851-1900,26,terrorism,alabama_arkansas,12.0,True,12094
1851-1900,26,terrorism,practical_disfranchisement,909.0,True,12094
1851-1900,26,terrorist,repression,65.0,True,12094
1851-1900,26,terrorist,brute_force,1.0,True,12094
1851-1900,26,terrorist,reign_terror,73.0,True,12094
1851-1900,27,terrorism,klan,681.0,True,12199
1851-1900,27,terrorism,fair_election,698.0,True,12199
1851-1900,27,terrorism,intimidation_violence,88.0,True,12199
1851-1900,27,terrorism,georgia_alabama,270.0,True,12199
1851-1900,27,terrorism,alabama_arkansas,83.0,True,12199
1851-1900,27,terrorism,practical_disfranchisement,2656.0,True,12199
1851-1900,27,terrorist,repression,50.0,True,12199
1851-1900,27,terrorist,brute_force,2.0,True,12199
1851-1900,27,terrorist,reign_terror,145.0,True,12199
1851-1900,28,terrorism,klan,2521.0,True,12996
1851-1900,28,terrorism,fair_election,1179.0,True,12996
1851-1900,28,terrorism,intimidation_violence,576.0,True,12996
1851-1900,28,terrorism,georgia_alabama,,True,12996
1851-1900,28,terrorism,alabama_arkansas,281.0,True,12996
1851-1900,28,terrorism,practical_disfranchisement,,True,12996
1851-1900,28,terrorist,repression,17.0,True,12996
1851-1900,28,terrorist,brute_force,,True,12996
1851-1900,28,terrorist,reign_terror,36.0,True,12996
1851-1900,29,terrorism,klan,2855.0,True,11749
1851-1900,29,terrorism,fair_election,522.0,True,11749
1851-1900,29,terrorism,intimidation_violence,561.0,True,11749
1851-1900,29,terrorism,georgia_alabama,4.0,True,11749
1851-1900,29,terrorism,alabama_arkansas,120.0,True,11749
1851-1900,29,terrorism,practical_disfranchisement,1689.0,True,11749
1851-1900,29,terrorist,repression,4.0,True,11749
1851-1900,29,terrorist,brute_force,883.0,True,11749
1851-1900,29,terrorist,reign_terror,5.0,True,11749
1851-1900,30,terrorism,klan,1512.0,True,12304
1851-1900,30,terrorism,fair_election,1234.0,True,12304
1851-1900,30,terrorism,intimidation_violence,1997.0,True,12304
1851-1900,30,terrorism,georgia_alabama,2703.0,True,12304
1851-1900,30,terrorism,alabama_arkansas,1497.0,True,12304
1851-1900,30,terrorism,practical_disfranchisement,,True,12304
1851-1900,30,terrorist,repression,20.0,True,12304
1851-1900,30,terrorist,brute_force,4694.0,True,12304
1851-1900,30,terrorist,reign_terror,1.0,True,12304
1851-1900,31,terrorism,klan,339.0,True,12311
1851-1900,31,terrorism,fair_election,500.0,True,12311
1851-1900,31,terrorism,intimidation_violence,135.0,True,12311
1851-1900,31,terrorism,georgia_alabama,,True,12311
1851-1900,31,terrorism,alabama_arkansas,154.0,True,12311
1851-1900,31,terrorism,practical_disfranchisement,42.0,True,12311
1851-1900,31,terrorist,repression,3.0,True,12311
1851-1900,31,terrorist,brute_force,6.0,True,12311
1851-1900,31,terrorist,reign_terror,16.0,True,12311
1851-1900,32,terrorism,klan,1.0,True,12218
1851-1900,32,terrorism,fair_election,111.0,True,12218
1851-1900,32,terrorism,intimidation_violence,876.0,True,12218
1851-1900,32,terrorism,georgia_alabama,42.0,True,12218
1851-1900,32,terrorism,alabama_arkansas,,True,12218
1851-1900,32,terrorism,practical_disfranchisement,1179.0,True,12218
1851-1900,32,terrorist,repression,169.0,True,12218
1851-1900,32,terrorist,brute_force,29.0,True,12218
1851-1900,32,terrorist,reign_terror,2.0,True,12218
1851-1900,33,terrorism,klan,737.0,True,12039
1851-1900,33,terrorism,fair_election,2077.0,True,12039
1851-1900,33,terrorism,intimidation_violence,98.0,True,12039
1851-1900,33,terrorism,georgia_alabama,23.0,True,12039
1851-1900,33,terrorism,alabama_arkansas,9.0,True,12039
1851-1900,33,terrorism,practical_disfranchisement,432.0,True,12039
1851-1900,33,terrorist,repression,18.0,True,12039
1851-1900,33,terrorist,brute_force,1.0,True,12039
1851-1900,33,terrorist,reign_terror,134.0,True,12039
1851-1900,34,terrorism,klan,53.0,True,12402
1851-1900,34,terrorism,fair_election,4300.0,True,12402
1851-1900,34,terrorism,intimidation_violence,175.0,True,12402
1851-1900,34,terrorism,georgia_alabama,3994.0,True,12402
1851-1900,34,terrorism,alabama_arkansas,1896.0,True,12402
1851-1900,34,terrorism,practical_disfranchisement,297.0,True,12402
1851-1900,34,terrorist,repression,537.0,True,12402
1851-1900,34,terrorist,brute_force,,True,12402
1851-1900,34,terrorist,reign_terror,50.0,True,12402
1851-1900,35,terrorism,klan,194.0,True,12817
1851-1900,35,terrorism,fair_election,514.0,True,12817
1851-1900,35,terrorism,intimidation_violence,1460.0,True,12817
1851-1900,35,terrorism,georgia_alabama,31.0,True,12817
1851-1900,35,terrorism,alabama_arkansas,128.0,True,12817
1851-1900,35,terrorism,practical_disfranchisement,407.0,True,12817
1851-1900,35,terrorist,repression,20.0,True,12817
1851-1900,35,terrorist,brute_force,146.0,True,12817
1851-1900,35,terrorist,reign_terror,7.0,True,12817
1851-1900,36,terrorism,klan,144.0,True,12446
1851-1900,36,terrorism,fair_election,1300.0,True,12446
1851-1900,36,terrorism,intimidation_violence,39.0,True,12446
1851-1900,36,terrorism,georgia_alabama,,True,12446
1851-1900,36,terrorism,alabama_arkansas,11.0,True,12446
1851-1900,36,terrorism,practical_disfranchisement,,True,12446
1851-1900,36,terrorist,repression,86.0,True,12446
1851-1900,36,terrorist,brute_force,513.0,True,12446
1851-1900,36,terrorist,reign_terror,33.0,True,12446
1851-1900,37,terrorism,klan,269.0,True,12315
1851-1900,37,terrorism,fair_election,52.0,True,12315
1851-1900,37,terrorism,intimidation_violence,56.0,True,12315
1851-1900,37,terrorism,georgia_alabama,48.0,True,12315
1851-1900,37,terrorism,alabama_arkansas,249.0,True,12315
1851-1900,37,terrorism,practical_disfranchisement,237.0,True,12315
1851-1900,37,terrorist,repression,146.0,True,12315
1851-1900,37,terrorist,brute_force,227.0,True,12315
1851-1900,37,terrorist,reign_terror,10.0,True,12315
1851-1900,38,terrorism,klan,220.0,True,12176
1851-1900,38,terrorism,fair_election,121.0,True,12176
1851-1900,38,terrorism,intimidation_violence,1030.0,True,12176
1851-1900,38,terrorism,georgia_alabama,82.0,True,12176
1851-1900,38,terrorism,alabama_arkansas,3629.0,True,12176
1851-1900,38,terrorism,practical_disfranchisement,655.0,True,12176
1851-1900,38,terrorist,repression,32.0,True,12176
1851-1900,38,terrorist,brute_force,50.0,True,12176
1851-1900,38,terrorist,reign_terror,40.0,True,12176
1851-1900,39,terrorism,klan,758.0,True,12305
1851-1900,39,terrorism,fair_election,72.0,True,12305
1851-1900,39,terrorism,intimidation_violence,1150.0,True,12305
1851-1900,39,terrorism,georgia_alabama,36.0,True,12305
1851-1900,39,terrorism,alabama_arkansas,6.0,True,12305
1851-1900,39,terrorism,practical_disfranchisement,271.0,True,12305
1851-1900,39,terrorist,repression,56.0,True,12305
1851-1900,39,terrorist,brute_force,269.0,True,12305
1851-1900,39,terrorist,reign_terror,7.0,True,12305
1851-1900,40,terrorism,klan,160.0,True,12079
1851-1900,40,terrorism,fair_election,738.0,True,12079
1851-1900,40,terrorism,intimidation_violence,32.0,True,12079
1851-1900,40,terrorism,georgia_alabama,45.0,True,12079
1851-1900,40,terrorism,alabama_arkansas,234.0,True,12079
1851-1900,40,terrorism,practical_disfranchisement,651.0,True,12079
1851-1900,40,terrorist,repression,197.0,True,12079
1851-1900,40,terrorist,brute_force,1020.0,True,12079
1851-1900,40,terrorist,reign_terror,48.0,True,12079
1851-1900,41,terrorism,klan,140.0,True,11996
1851-1900,41,terrorism,fair_election,30.0,True,11996
1851-1900,41,terrorism,intimidation_violence,7.0,True,11996
1851-1900,41,terrorism,georgia_alabama,36.0,True,11996
1851-1900,41,terrorism,alabama_arkansas,,True,11996
1851-1900,41,terrorism,practical_disfranchisement,,True,11996
1851-1900,41,terrorist,repression,5.0,True,11996
1851-1900,41,terrorist,brute_force,237.0,True,11996
1851-1900,41,terrorist,reign_terror,46.0,True,11996
1851-1900,42,terrorism,klan,999.0,True,11500
1851-1900,42,terrorism,fair_election,33.0,True,11500
1851-1900,42,terrorism,intimidation_violence,2.0,True,11500
1851-1900,42,terrorism,georgia_alabama,34.0,True,11500
1851-1900,42,terrorism,alabama_arkansas,87.0,True,11500
1851-1900,42,terrorism,practical_disfranchisement,1163.0,True,11500
1851-1900,42,terrorist,repression,138.0,True,11500
1851-1900,42,terrorist,brute_force,13.0,True,11500
1851-1900,42,terrorist,reign_terror,86.0,True,11500
1851-1900,43,terrorism,klan,938.0,True,12271
1851-1900,43,terrorism,fair_election,519.0,True,12271
1851-1900,43,terrorism,intimidation_violence,2067.0,True,12271
1851-1900,43,terrorism,georgia_alabama,2424.0,True,12271
1851-1900,43,terrorism,alabama_arkansas,,True,12271
1851-1900,43,terrorism,practical_disfranchisement,3044.0,True,12271
1851-1900,43,terrorist,repression,6.0,True,12271
1851-1900,43,terrorist,brute_force,66.0,True,12271
1851-1900,43,terrorist,reign_terror,3.0,True,12271
1851-1900,44,terrorism,klan,1676.0,True,12023
1851-1900,44,terrorism,fair_election,2388.0,True,12023
1851-1900,44,terrorism,intimidation_violence,1882.0,True,12023
1851-1900,44,terrorism,georgia_alabama,33.0,True,12023
1851-1900,44,terrorism,alabama_arkansas,53.0,True,12023
1851-1900,44,terrorism,practical_disfranchisement,481.0,True,12023
1851-1900,44,terrorist,repression,2.0,True,12023
1851-1900,44,terrorist,brute_force,1126.0,True,12023
1851-1900,44,terrorist,reign_terror,22.0,True,12023
1851-1900,45,terrorism,klan,2875.0,True,12678
1851-1900,45,terrorism,fair_election,9129.0,True,12678
1851-1900,45,terrorism,intimidation_violence,1152.0,True,12678
1851-1900,45,terrorism,georgia_alabama,,True,12678
1851-1900,45,terrorism,alabama_arkansas,4333.0,True,12678
1851-1900,45,terrorism,practical_disfranchisement,,True,12678
1851-1900,45,terrorist,repression,1332.0,True,12678
1851-1900,45,terrorist,brute_force,27.0,True,12678
1851-1900,45,terrorist,reign_terror,60.0,True,12678
1851-1900,46,terrorism,klan,1671.0,True,12344
1851-1900,46,terrorism,fair_election,109.0,True,12344
1851-1900,46,terrorism,intimidation_violence,16.0,True,12344
1851-1900,46,terrorism,georgia_alabama,2.0,True,12344
1851-1900,46,terrorism,alabama_arkansas,112.0,True,12344
1851-1900,46,terrorism,practical_disfranchisement,266.0,True,12344
1851-1900,46,terrorist,repression,78.0,True,12344
1851-1900,46,terrorist,brute_force,,True,12344
1851-1900,46,terrorist,reign_terror,79.0,True,12344
1851-1900,47,terrorism,klan,76.0,True,12944
1851-1900,47,terrorism,fair_election,170.0,True,12944
1851-1900,47,terrorism,intimidation_violence,117.0,True,12944
1851-1900,47,terrorism,georgia_alabama,155.0,True,12944
1851-1900,47,terrorism,alabama_arkansas,5.0,True,12944
1851-1900,47,terrorism,practical_disfranchisement,140.0,True,12944
1851-1900,47,terrorist,repression,4.0,True,12944
1851-1900,47,terrorist,brute_force,43.0,True,12944
1851-1900,47,terrorist,reign_terror,227.0,True,12944
1851-1900,48,terrorism,klan,1448.0,True,12570
1851-1900,48,terrorism,fair_election,110.0,True,12570
1851-1900,48,terrorism,intimidation_violence,454.0,True,12570
1851-1900,48,terrorism,georgia_alabama,134.0,True,12570
1851-1900,48,terrorism,alabama_arkansas,2082.0,True,12570
1851-1900,48,terrorism,practical_disfranchisement,6146.0,True,12570
1851-1900,48,terrorist,repression,859.0,True,12570
1851-1900,48,terrorist,brute_force,6898.0,True,12570
1851-1900,48,terrorist,reign_terror,20.0,True,12570
1851-1900,49,terrorism,klan,127.0,True,11846
1851-1900,49,terrorism,fair_election,95.0,True,11846
1851-1900,49,terrorism,intimidation_violence,92.0,True,11846
1851-1900,49,terrorism,georgia_alabama,48.0,True,11846
1851-1900,49,terrorism,alabama_arkansas,8.0,True,11846
1851-1900,49,terrorism,practical_disfranchisement,148.0,True,11846
1851-1900,49,terrorist,repression,135.0,True,11846
1851-1900,49,terrorist,brute_force,182.0,True,11846
1851-1900,49,terrorist,reign_terror,31.0,True,11846
1901-1930,0,terrorism,bulgar,,True,8776
1901-1930,0,terrorism,social_revolutionist,700.0,True,8776
1901-1930,0,terrorism,socialist_revolutionary,131.0,True,8776
1901-1930,0,terrorism,assassination,547.0,True,8776
1901-1930,0,terrorist,night_rider,39.0,True,8776
1901-1930,1,terrorism,bulgar,2.0,True,8902
1901-1930,1,terrorism,social_revolutionist,63.0,True,8902
1901-1930,1,terrorism,socialist_revolutionary,172.0,True,8902
1901-1930,1,terrorism,assassination,163.0,True,8902
1901-1930,1,terrorist,night_rider,513.0,True,8902
1901-1930,2,terrorism,bulgar,,True,9127
1901-1930,2,terrorism,social_revolutionist,14.0,True,9127
1901-1930,2,terrorism,socialist_revolutionary,31.0,True,9127
1901-1930,2,terrorism,assassination,475.0,True,9127
1901-1930,2,terrorist,night_rider,138.0,True,9127
1901-1930,3,terrorism,bulgar,2.0,True,9066
1901-1930,3,terrorism,social_revolutionist,8.0,True,9066
1901-1930,3,terrorism,socialist_revolutionary,17.0,True,9066
1901-1930,3,terrorism,assassination,187.0,True,9066
1901-1930,3,terrorist,night_rider,70.0,True,9066
1901-1930,4,terrorism,bulgar,,True,8458
1901-1930,4,terrorism,social_revolutionist,8.0,True,8458
1901-1930,4,terrorism,socialist_revolutionary,494.0,True,8458
1901-1930,4,terrorism,assassination,112.0,True,8458
1901-1930,4,terrorist,night_rider,379.0,True,8458
1901-1930,5,terrorism,bulgar,664.0,True,9123
1901-1930,5,terrorism,social_revolutionist,12.0,True,9123
1901-1930,5,terrorism,socialist_revolutionary,2.0,True,9123
1901-1930,5,terrorism,assassination,392.0,True,9123
1901-1930,5,terrorist,night_rider,18.0,True,9123
1901-1930,6,terrorism,bulgar,2.0,True,8751
1901-1930,6,terrorism,social_revolutionist,93.0,True,8751
1901-1930,6,terrorism,socialist_revolutionary,32.0,True,8751
1901-1930,6,terrorism,assassination,125.0,True,8751
1901-1930,6,terrorist,night_rider,55.0,True,8751
1901-1930,7,terrorism,bulgar,14.0,True,8783
1901-1930,7,terrorism,social_revolutionist,23.0,True,8783
1901-1930,7,terrorism,socialist_revolutionary,11.0,True,8783
1901-1930,7,terrorism,assassination,48.0,True,8783
1901-1930,7,terrorist,night_rider,44.0,True,8783
1901-1930,8,terrorism,bulgar,1.0,True,8423
1901-1930,8,terrorism,social_revolutionist,468.0,True,8423
